periode_seleksi_casn,nama_jabatan,kualifikasi_tingkat_pendidikan,kualifikasi_program_studi_jurusan,alokasi_kebutuhan,jumlah_pelamar,rasio_keketatan,passing_grade_persen,tingkat_keketatan,eselon_1_penempatan,eselon_2_penempatan,eselon_3_penempatan,lokasi,rentang_penghasilan
2024,Pranata Komputer Ahli Pertama,S1,"ILMU KOMPUTER
TEKNIK INFORMATIKA",1,418,1:418,0.24,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Analis SDM Ahli Pertama,S1,PSIKOLOGI,4,1952,1:488,0.2,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"TEKNIK INFORMATIKA
ILMU KOMPUTER",3,1446,1:482,0.21,tinggi,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL OTONOMI DAERAH,DIREKTORAT KEUANGAN DAERAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,3,1911,1:637,0.16,sangat_tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Analis SDM Ahli Pertama,S1,"MANAJEMEN
PSIKOLOGI",2,796,1:398,0.25,tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Terampil,DIII,TEKNOLOGI INFORMASI,3,486,1:162,0.62,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",2918320-6994006
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,4,1540,1:385,0.26,tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,ILMU KOMUNIKASI,5,2195,1:439,0.23,tinggi,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,2,924,1:462,0.22,tinggi,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis Anggaran Ahli Pertama,S1,"AKUNTANSI
EKONOMI PEMBANGUNAN",1,492,1:492,0.2,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Analis Anggaran Ahli Pertama,S1,AKUNTANSI,2,832,1:416,0.24,tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,5,1210,1:242,0.41,sedang,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Perawat Terampil,DIII,KEPERAWATAN,5,1240,1:248,0.4,sedang,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Arsiparis Terampil,DIII,"MANAJEMEN
SISTEM INFORMASI
TEKNOLOGI INFORMASI",5,250,1:50,2.0,rendah,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",2908320-6984006
2024,Perawat Terampil,DIII,KEPERAWATAN,4,716,1:179,0.56,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Arsiparis Terampil,DIII,"MANAJEMEN
TEKNOLOGI INFORMASI
SISTEM INFORMASI",1,57,1:57,1.75,rendah,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",2908320-6984006
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,1,172,1:172,0.58,sedang,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,SISTEM INFORMASI,3,1329,1:443,0.23,tinggi,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Hukum Ahli Pertama,S1,HUKUM,1,776,1:776,0.13,sangat_tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,4,1340,1:335,0.3,tinggi,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Penyuluh Sosial Ahli Pertama,S1,"PSIKOLOGI
ILMU KESEJAHTERAAN SOSIAL
SOSIOLOGI",1,53,1:53,1.89,rendah,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Statistisi Ahli Pertama,S1,"MATEMATIKA
STATISTIKA",5,780,1:156,0.64,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,SISTEM INFORMASI,1,440,1:440,0.23,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,2,264,1:132,0.76,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Anggaran Ahli Pertama,S1,EKONOMI PEMBANGUNAN,3,1089,1:363,0.28,tinggi,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,3,2748,1:916,0.11,sangat_tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3500000-9000000
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,ILMU KOMUNIKASI,2,720,1:360,0.28,tinggi,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
